container_id,warehouse_id,rack_number,quantity,arrival_date,shipment_date,is_damaged
187,C,14,342,10/25/2022,9/8/2023,false
188,E,10,658,7/30/2022,10/19/2023,false
189,E,61,140,11/29/2022,9/8/2023,true
190,B,50,712,5/26/2022,9/16/2023,true
191,E,74,887,3/2/2022,10/5/2023,true
192,D,63,686,10/29/2022,10/2/2023,true
193,E,73,27,6/22/2022,9/25/2023,true
194,B,81,434,10/14/2022,10/19/2023,true
195,D,69,968,6/21/2022,10/24/2023,false
196,C,58,971,3/12/2022,8/19/2023,true
197,E,45,758,10/24/2022,10/15/2023,true
198,B,51,249,4/15/2022,10/1/2023,false
199,E,46,334,2/24/2022,10/25/2023,false
200,D,68,341,10/4/2022,10/22/2023,false
201,B,40,629,8/22/2022,9/28/2023,false
202,C,92,739,8/7/2022,9/26/2023,false
203,B,80,427,1/9/2022,9/8/2023,false
204,E,14,426,3/15/2022,9/10/2023,true
205,C,52,701,8/23/2022,8/16/2023,false
206,B,98,720,9/28/2022,9/27/2023,false
207,B,39,527,12/21/2022,8/27/2023,true
208,C,95,175,6/11/2022,9/7/2023,false
209,B,6,865,4/12/2022,8/30/2023,true
210,E,15,302,10/29/2022,9/16/2023,true
211,A,37,999,12/22/2022,9/10/2023,false
212,A,35,53,9/3/2022,9/27/2023,true
213,E,77,307,3/26/2022,8/22/2023,false
214,B,40,66,9/3/2022,9/23/2023,false
215,A,89,575,4/8/2022,9/19/2023,false
216,D,17,353,8/16/2022,8/27/2023,false
217,B,100,7,8/11/2022,9/11/2023,false
218,C,6,813,5/17/2022,9/24/2023,false
219,D,29,460,11/16/2022,9/27/2023,true
220,D,1,716,7/25/2022,10/29/2023,false
221,D,5,762,1/12/2022,9/3/2023,false
222,A,15,963,11/3/2022,9/1/2023,true
223,C,42,907,7/14/2022,9/11/2023,true
224,D,1,585,11/3/2022,9/14/2023,true
225,C,72,372,5/14/2022,10/19/2023,true
226,D,11,995,6/27/2022,10/7/2023,false
227,A,38,758,3/5/2022,9/9/2023,false
228,B,93,506,1/10/2022,10/27/2023,false
229,D,99,976,7/21/2022,10/2/2023,true
230,C,90,745,11/18/2022,9/8/2023,false
231,C,75,607,6/14/2022,8/22/2023,true
232,C,56,204,6/28/2022,10/16/2023,false
233,C,63,662,12/2/2022,9/3/2023,false
234,A,30,252,11/29/2022,10/29/2023,false
235,A,43,804,3/20/2022,9/14/2023,true
236,A,65,141,8/13/2022,9/5/2023,false
237,A,10,127,2/12/2022,10/21/2023,false
238,A,82,112,1/24/2022,9/1/2023,false
239,D,99,42,5/4/2022,9/1/2023,false
240,B,12,338,8/26/2022,9/10/2023,false
241,B,51,860,8/16/2022,8/16/2023,false
242,E,73,245,7/31/2022,10/12/2023,false
243,C,78,866,3/22/2022,10/3/2023,true
244,E,40,778,9/27/2022,9/6/2023,false
245,D,92,560,12/16/2022,10/12/2023,false
246,D,64,950,3/10/2022,9/18/2023,false
247,D,20,804,3/9/2022,9/5/2023,true
248,A,65,856,11/29/2022,9/29/2023,true
249,A,46,596,4/7/2022,10/5/2023,true
250,C,29,986,10/1/2022,9/10/2023,false
251,E,72,58,9/10/2022,9/22/2023,true
252,C,73,120,7/21/2022,10/28/2023,false
253,A,97,383,11/1/2022,8/16/2023,true
254,A,86,630,3/15/2022,8/25/2023,true
255,B,21,850,10/16/2022,10/30/2023,false
256,E,60,709,2/24/2022,9/24/2023,false
257,E,96,958,1/1/2022,10/14/2023,true
258,B,77,13,9/26/2022,10/8/2023,true
259,A,93,817,3/2/2022,8/25/2023,true
260,E,32,165,1/31/2022,9/8/2023,false
261,B,70,389,12/30/2022,9/7/2023,false
262,E,64,736,7/2/2022,9/6/2023,true
263,E,81,716,3/6/2022,8/20/2023,true
264,C,28,905,5/22/2022,10/22/2023,true
265,E,34,513,11/14/2022,9/28/2023,true
266,B,14,923,1/30/2022,8/31/2023,false
267,E,6,429,4/20/2022,9/6/2023,true
268,C,49,58,1/5/2022,8/22/2023,true
269,C,86,566,8/15/2022,9/8/2023,false
270,E,70,569,3/15/2022,10/6/2023,true
271,A,20,93,6/11/2022,10/22/2023,true
272,B,27,332,3/15/2022,10/6/2023,false
273,D,16,764,4/11/2022,10/22/2023,false
274,B,69,971,7/28/2022,8/18/2023,true
275,A,95,179,3/28/2022,9/6/2023,true
276,B,5,719,8/25/2022,10/12/2023,true
277,C,62,287,5/23/2022,8/27/2023,false
278,D,71,741,7/22/2022,10/16/2023,true
279,E,10,696,1/13/2022,9/18/2023,true
280,C,21,492,2/15/2022,9/8/2023,false
281,C,63,579,5/4/2022,8/18/2023,true
282,E,46,838,2/26/2022,8/18/2023,false
283,B,93,901,1/5/2022,9/17/2023,true
284,A,77,429,12/6/2022,10/17/2023,true
285,B,28,834,5/4/2022,8/29/2023,true
286,D,55,499,7/6/2022,10/8/2023,true
287,D,87,953,10/25/2022,8/30/2023,true
288,D,63,890,3/5/2022,8/17/2023,false
289,D,91,852,12/4/2022,10/23/2023,false
290,E,22,573,10/23/2022,10/1/2023,false
291,A,78,895,10/14/2022,8/30/2023,false
292,B,73,303,3/8/2022,8/20/2023,false
293,E,31,130,8/19/2022,9/10/2023,true
294,D,82,996,12/3/2022,10/10/2023,false
295,D,7,745,3/28/2022,8/25/2023,true
296,B,53,811,5/23/2022,9/1/2023,true
297,A,24,896,7/14/2022,10/4/2023,true
298,B,94,535,9/13/2022,9/16/2023,false
299,E,48,828,7/21/2022,9/11/2023,true
300,A,86,229,11/30/2022,9/15/2023,false
301,A,42,726,10/21/2022,9/8/2023,false
302,A,57,223,6/18/2022,9/4/2023,true
303,C,33,55,2/14/2022,10/8/2023,false
304,D,46,951,3/13/2022,10/5/2023,false
305,E,35,686,4/9/2022,10/10/2023,false
306,C,75,283,1/15/2022,10/10/2023,true
307,E,58,852,1/20/2022,9/21/2023,false
308,E,33,546,3/7/2022,9/27/2023,true
309,B,61,67,6/18/2022,9/22/2023,false
310,C,26,73,9/5/2022,8/26/2023,false
311,D,64,794,3/17/2022,8/27/2023,true
312,E,50,21,5/16/2022,10/8/2023,true
313,A,97,723,7/21/2022,9/29/2023,false
314,D,20,850,2/27/2022,10/14/2023,true
315,A,73,220,1/9/2022,9/18/2023,true
316,D,25,291,7/11/2022,10/27/2023,true
317,A,20,526,5/8/2022,9/14/2023,true
318,B,29,502,9/8/2022,9/20/2023,true
319,E,18,925,5/20/2022,9/18/2023,false
320,C,71,523,1/9/2022,10/19/2023,false
321,D,64,514,6/26/2022,8/21/2023,false
322,D,2,789,11/9/2022,8/17/2023,true
323,A,15,668,4/20/2022,10/14/2023,false
324,E,36,570,6/15/2022,10/18/2023,true
325,A,26,395,12/30/2022,9/30/2023,false
326,C,94,198,11/3/2022,10/19/2023,true
327,A,62,494,1/6/2022,10/10/2023,true
328,D,41,306,1/1/2022,8/17/2023,false
329,E,25,821,7/7/2022,9/2/2023,false
330,A,46,147,1/5/2022,9/3/2023,false
331,C,9,900,6/20/2022,10/2/2023,true
332,B,20,344,6/27/2022,8/28/2023,false
333,D,3,670,3/21/2022,8/16/2023,true
334,B,100,749,2/8/2022,9/7/2023,false
335,A,44,823,1/28/2022,10/12/2023,false
336,B,48,687,2/24/2022,10/7/2023,false
337,E,76,303,9/8/2022,8/24/2023,false
338,A,25,878,6/1/2022,8/22/2023,true
339,A,29,180,8/3/2022,10/21/2023,false
340,A,44,753,5/10/2022,9/14/2023,true
341,E,51,108,4/8/2022,10/7/2023,true
342,D,52,623,5/26/2022,8/16/2023,false
343,B,55,239,3/20/2022,10/4/2023,false
344,D,36,199,7/13/2022,10/14/2023,true
345,C,19,781,1/15/2022,9/17/2023,false
346,D,28,816,5/11/2022,9/12/2023,false
347,C,40,209,4/22/2022,9/15/2023,false
348,D,83,954,9/19/2022,9/1/2023,true
349,E,2,254,1/28/2022,8/20/2023,false
350,E,48,635,12/24/2022,10/2/2023,true
351,E,99,746,10/18/2022,8/18/2023,false
352,C,48,392,4/5/2022,9/27/2023,true
353,E,68,719,1/16/2022,9/19/2023,true
354,E,27,701,9/24/2022,10/2/2023,true
355,B,85,570,12/29/2022,8/16/2023,true
356,C,85,185,12/25/2022,10/6/2023,true
357,B,98,449,11/16/2022,8/16/2023,true
358,B,43,948,10/1/2022,10/15/2023,false
359,B,90,442,12/12/2022,8/16/2023,false
360,C,92,844,4/8/2022,10/6/2023,true
361,E,40,530,3/24/2022,9/28/2023,true
362,A,52,36,9/7/2022,9/13/2023,true
363,C,75,959,11/5/2022,10/17/2023,true
364,D,60,205,1/13/2022,10/15/2023,false
365,B,2,132,12/11/2022,10/10/2023,true
366,C,28,872,6/10/2022,8/28/2023,true
367,C,32,280,10/9/2022,10/7/2023,false
368,E,55,797,11/3/2022,10/21/2023,false
369,C,45,573,7/16/2022,8/22/2023,true
370,D,37,331,12/9/2022,9/26/2023,false
371,D,89,788,10/12/2022,9/17/2023,true
372,E,20,38,10/27/2022,10/4/2023,true
373,A,38,824,6/10/2022,8/20/2023,true
374,E,84,264,6/26/2022,10/15/2023,true
375,C,75,721,10/1/2022,8/23/2023,false
376,B,17,864,5/6/2022,10/24/2023,true
377,D,27,849,5/10/2022,8/17/2023,false
378,A,28,689,11/20/2022,10/17/2023,false
379,D,34,95,11/22/2022,10/27/2023,true
380,E,32,311,3/9/2022,10/8/2023,true
381,A,7,660,4/13/2022,10/27/2023,false
382,D,87,928,8/22/2022,10/25/2023,false
383,A,86,347,1/15/2022,9/14/2023,true
384,B,91,169,2/24/2022,10/26/2023,true
385,E,100,719,11/27/2022,9/24/2023,true
386,E,58,110,2/19/2022,10/11/2023,true
387,B,72,268,3/21/2022,9/22/2023,true
388,E,35,35,1/11/2022,9/26/2023,true
389,B,99,471,7/12/2022,10/16/2023,false
390,D,54,973,5/25/2022,9/5/2023,true
391,D,99,594,4/13/2022,10/8/2023,true
392,A,64,925,10/12/2022,8/28/2023,false
393,D,25,424,9/6/2022,9/23/2023,true
394,E,80,341,3/12/2022,9/3/2023,true
395,B,84,463,2/15/2022,8/26/2023,false
396,C,17,677,12/2/2022,9/3/2023,true
397,C,76,955,10/12/2022,9/7/2023,false
398,B,19,769,4/23/2022,9/14/2023,true
399,C,15,383,11/18/2022,9/29/2023,true
400,B,7,134,10/20/2022,8/28/2023,true
401,A,69,498,8/26/2022,9/29/2023,false
402,A,46,944,9/28/2022,9/18/2023,true
403,B,8,757,7/31/2022,9/21/2023,true
404,C,57,145,10/16/2022,9/22/2023,false
405,E,35,686,8/5/2022,8/19/2023,true
406,A,63,316,11/13/2022,10/15/2023,false
407,E,70,192,2/6/2022,10/29/2023,false
408,E,32,541,11/15/2022,9/24/2023,false
409,A,97,522,2/8/2022,10/1/2023,true
410,C,22,352,4/1/2022,10/25/2023,true
411,B,8,389,5/1/2022,9/10/2023,false
412,A,73,685,1/21/2022,8/17/2023,false
413,A,52,485,3/4/2022,10/23/2023,false
414,B,66,50,9/18/2022,8/23/2023,true
415,A,93,519,2/9/2022,8/16/2023,false
416,E,43,522,4/24/2022,8/23/2023,true
417,D,50,448,3/25/2022,10/29/2023,true
418,A,45,882,3/2/2022,8/28/2023,true
419,E,14,287,1/5/2022,10/7/2023,false
420,E,3,600,11/18/2022,9/6/2023,false
421,C,72,88,11/11/2022,10/24/2023,true
422,E,19,669,3/6/2022,9/12/2023,false
423,E,85,99,10/13/2022,9/18/2023,true
424,A,52,197,7/14/2022,9/28/2023,true
425,B,42,155,4/13/2022,9/25/2023,false
426,E,58,404,10/15/2022,8/24/2023,true
427,A,87,976,7/22/2022,10/13/2023,false
428,A,2,266,4/16/2022,10/4/2023,true
429,E,85,997,9/26/2022,9/9/2023,true
430,A,14,127,10/1/2022,8/22/2023,false
431,A,40,559,6/25/2022,10/2/2023,false
432,A,79,248,12/14/2022,10/18/2023,false
433,D,57,300,6/11/2022,9/28/2023,false
434,B,13,655,8/27/2022,10/2/2023,true
435,A,98,127,9/9/2022,10/22/2023,true
436,E,79,592,4/15/2022,9/11/2023,true
437,E,60,303,1/18/2022,9/19/2023,true
438,E,85,843,2/18/2022,9/6/2023,false
439,A,16,554,6/21/2022,8/28/2023,true
440,A,80,89,8/27/2022,10/16/2023,false
441,E,38,869,10/27/2022,9/9/2023,false
442,B,39,106,3/9/2022,9/2/2023,true
443,D,100,831,2/17/2022,10/21/2023,false
444,A,61,930,2/22/2022,8/31/2023,true
445,C,69,167,11/3/2022,10/16/2023,false
446,A,8,149,5/14/2022,8/30/2023,false
447,D,24,589,1/8/2022,10/19/2023,true
448,B,99,42,6/15/2022,9/11/2023,false
449,A,57,263,5/15/2022,8/27/2023,false
450,B,8,777,2/14/2022,9/13/2023,false
451,A,29,471,8/24/2022,10/9/2023,true
452,E,39,233,7/19/2022,8/25/2023,false
453,E,64,213,7/20/2022,9/17/2023,false
454,B,79,607,11/17/2022,10/28/2023,false
455,E,23,543,11/2/2022,8/16/2023,false
456,D,45,108,5/24/2022,9/2/2023,true
457,B,69,237,2/5/2022,9/4/2023,true
458,D,50,78,5/9/2022,10/2/2023,false
459,D,18,151,6/18/2022,9/28/2023,true
460,E,78,657,12/7/2022,10/26/2023,false
461,A,81,95,6/8/2022,8/23/2023,false
462,E,43,433,3/16/2022,9/25/2023,true
463,A,75,219,6/25/2022,9/9/2023,false
464,C,49,128,1/26/2022,9/11/2023,false
465,B,92,375,11/12/2022,8/18/2023,true
466,E,14,830,6/5/2022,9/12/2023,false
467,C,20,94,10/5/2022,8/29/2023,true
468,E,10,440,9/24/2022,9/27/2023,false
469,A,94,631,6/16/2022,10/11/2023,false
470,E,32,913,4/23/2022,9/7/2023,false
471,A,86,606,11/8/2022,8/22/2023,true
472,E,43,11,1/6/2022,9/24/2023,false
473,A,37,645,7/9/2022,9/9/2023,true
474,E,49,650,3/17/2022,10/28/2023,false
475,C,6,557,7/9/2022,8/31/2023,false
476,B,30,703,8/20/2022,10/20/2023,true
477,E,55,750,1/30/2022,10/29/2023,true
478,B,72,854,3/7/2022,10/16/2023,true
479,A,90,115,7/9/2022,8/22/2023,true
480,B,56,38,10/12/2022,10/2/2023,true
481,E,19,689,8/23/2022,9/25/2023,true
482,D,78,155,1/17/2022,9/23/2023,true
483,C,7,687,1/26/2022,10/10/2023,false
484,D,48,517,8/7/2022,10/18/2023,true
485,B,13,19,4/11/2022,10/3/2023,true
486,C,18,902,9/18/2022,9/24/2023,true
487,E,22,257,1/8/2022,9/7/2023,true
488,B,71,589,4/15/2022,9/13/2023,true
489,C,93,65,12/23/2022,10/28/2023,true
490,C,67,804,10/27/2022,9/27/2023,false
491,D,79,496,11/14/2022,10/17/2023,true
492,E,61,783,5/10/2022,10/1/2023,false
493,B,63,186,1/10/2022,10/6/2023,true
494,B,7,387,8/14/2022,9/11/2023,false
495,D,53,149,1/18/2022,10/25/2023,false
496,E,10,29,6/16/2022,10/28/2023,true
497,A,44,76,6/18/2022,10/29/2023,true
498,A,77,954,5/9/2022,10/10/2023,false
499,A,33,357,12/3/2022,10/13/2023,true
500,D,74,184,8/21/2022,9/30/2023,false
501,D,47,315,4/23/2022,8/29/2023,false
502,A,33,829,12/9/2022,10/25/2023,true
503,C,5,891,3/16/2022,10/21/2023,false
504,B,75,117,5/30/2022,10/23/2023,true
505,B,78,45,11/8/2022,9/27/2023,false
506,D,13,733,6/21/2022,10/30/2023,true
507,C,97,948,12/9/2022,10/6/2023,true
508,B,96,465,3/12/2022,10/18/2023,false
509,E,44,423,3/17/2022,10/15/2023,false
510,D,64,361,8/24/2022,8/22/2023,false
511,D,54,192,2/25/2022,10/7/2023,false
512,A,60,719,3/10/2022,10/22/2023,true
513,E,24,956,4/9/2022,9/11/2023,false
514,A,88,558,6/3/2022,10/26/2023,false
515,A,63,937,11/7/2022,8/27/2023,true
516,D,24,394,4/13/2022,10/1/2023,true
517,C,66,388,6/4/2022,10/6/2023,true
518,C,17,250,6/9/2022,10/25/2023,true
519,C,66,917,6/26/2022,10/8/2023,false
520,C,9,911,1/24/2022,9/11/2023,true
521,D,40,335,3/8/2022,10/25/2023,true
522,A,61,367,2/15/2022,10/1/2023,true
523,C,7,611,5/11/2022,9/8/2023,true
524,D,10,195,11/13/2022,8/21/2023,false
525,C,83,467,8/5/2022,10/25/2023,false
526,E,80,340,7/10/2022,9/19/2023,false
527,A,44,594,8/9/2022,10/5/2023,true
528,B,77,475,1/31/2022,8/27/2023,true
529,B,13,602,11/17/2022,10/16/2023,false
530,A,80,668,9/19/2022,8/27/2023,true
531,B,66,474,10/10/2022,8/22/2023,true
532,C,73,377,9/3/2022,9/12/2023,true
533,E,52,116,1/30/2022,9/4/2023,true
534,D,18,434,8/23/2022,10/25/2023,false
535,D,69,600,1/16/2022,9/3/2023,false
536,B,58,987,12/26/2022,8/20/2023,true
537,B,67,574,6/14/2022,8/26/2023,true
538,D,14,370,5/21/2022,9/27/2023,false
539,C,67,907,8/7/2022,9/25/2023,false
540,C,3,802,3/5/2022,9/15/2023,false
541,C,16,919,6/12/2022,9/9/2023,false
542,A,90,292,6/25/2022,9/18/2023,true
543,B,54,658,10/13/2022,10/14/2023,true
544,A,51,478,2/6/2022,9/6/2023,true
545,E,52,247,7/2/2022,10/1/2023,true
546,E,84,284,3/22/2022,10/30/2023,false
547,A,79,490,6/2/2022,10/17/2023,true
548,D,25,231,1/31/2022,10/7/2023,false
549,C,72,949,9/21/2022,8/18/2023,true
550,B,10,761,8/27/2022,9/9/2023,false
551,C,94,494,11/7/2022,8/27/2023,false
552,C,27,455,2/18/2022,10/26/2023,true
553,E,17,434,1/1/2022,9/7/2023,true
554,D,100,953,12/16/2022,9/30/2023,true
555,D,67,71,10/25/2022,10/7/2023,false
556,B,26,995,5/4/2022,9/29/2023,false
557,A,33,895,12/12/2022,9/4/2023,true
558,E,27,459,2/9/2022,10/9/2023,false
559,D,85,219,3/6/2022,9/10/2023,false
560,D,7,770,3/14/2022,9/2/2023,true
561,A,29,871,10/26/2022,9/14/2023,true
562,D,70,414,10/4/2022,10/15/2023,false
563,E,39,429,11/21/2022,8/25/2023,false
564,A,65,536,11/20/2022,10/10/2023,false
565,C,2,647,5/26/2022,8/21/2023,true
566,A,8,536,12/25/2022,10/15/2023,true
567,A,39,695,12/17/2022,10/13/2023,true
568,C,99,576,11/11/2022,8/17/2023,false
569,C,99,580,12/3/2022,10/12/2023,true
570,E,62,556,6/15/2022,9/9/2023,false
571,E,19,571,8/1/2022,9/2/2023,true
572,A,27,584,5/5/2022,9/30/2023,false
573,C,87,30,7/5/2022,9/22/2023,true
574,C,11,493,6/10/2022,10/20/2023,false
575,D,11,738,9/18/2022,8/24/2023,true
576,B,74,284,12/8/2022,10/11/2023,false
577,B,3,112,4/11/2022,8/22/2023,false
578,E,56,734,1/2/2022,9/14/2023,false
579,A,17,867,6/13/2022,9/29/2023,false
580,D,27,490,8/8/2022,10/27/2023,true
